area,name,left20,left30,left40,left50,left60,left70,left80,left90,peak,peakdate,peakvalue,right90,right80,right70,right60,right50,right40,right30,right20
台北市士林區 0-19,TPa1,2,4,1,2,1,1,4,4,2,1,4,4,1,4,1,4,3,2,2
台北市士林區 20-34,TPa2,2,4,1,2,1,1,4,4,2,1,4,1,2,3,4,1,1,1,0
台北市士林區 35-54,TPa3,4,4,2,2,2,3,4,4,2,1,4,4,4,4,1,4,3,2,0
台北市士林區 55+,TPa4,4,4,4,3,1,1,4,4,2,2,3,4,4,2,1,4,3,2,3
台北市大同區 0-19,TPb1,1,4,2,2,2,3,1,2,2,1,4,4,4,4,1,3,3,2,3
台北市大同區 20-34,TPb2,2,3,1,2,2,3,4,4,2,1,1,4,1,4,3,4,3,1,0
台北市大同區 35-54,TPb3,1,1,2,4,3,3,1,2,2,1,4,4,2,1,3,4,3,2,3
台北市大同區 55+,TPb4,3,1,2,4,3,4,1,2,2,1,3,4,4,2,3,4,3,2,1
台北市大安區 0-19,TPc1,2,4,1,2,2,3,4,2,1,1,3,4,1,4,3,4,2,4,0
台北市大安區 20-34,TPc2,2,2,3,1,4,2,2,1,1,1,4,3,3,3,4,1,4,4,0
台北市大安區 35-54,TPc3,2,4,4,3,1,1,4,3,2,1,3,1,2,3,4,4,4,4,0
台北市大安區 55+,TPc4,2,3,3,1,1,1,4,4,2,4,3,1,2,1,1,4,1,1,2
台北市中山區 0-19,TPd1,4,4,2,2,2,3,4,4,2,1,4,4,1,4,1,4,1,4,2
台北市中山區 20-34,TPd2,2,3,3,1,1,1,3,3,1,1,1,1,2,3,4,1,4,3,0
台北市中山區 35-54,TPd3,2,3,3,1,1,1,3,3,2,1,4,1,2,1,3,4,1,1,0
台北市中山區 55+,TPd4,4,4,2,2,2,3,4,3,2,1,3,1,3,3,3,1,4,4,2
台北市中正區 0-19,TPe1,1,4,2,2,2,3,1,2,1,3,3,4,4,4,3,1,4,4,0
台北市中正區 20-34,TPe2,2,3,4,1,1,1,3,3,1,1,4,1,2,1,3,4,2,3,0
台北市中正區 35-54,TPe3,2,3,3,1,1,1,4,4,1,1,3,1,2,3,3,4,3,4,0
台北市中正區 55+,TPe4,2,3,4,3,1,1,4,4,2,4,3,4,1,4,1,3,3,2,3
台北市內湖區 0-19,TPf1,2,4,1,2,2,3,4,3,3,1,3,1,3,3,3,4,4,3,0
台北市內湖區 20-34,TPf2,2,3,4,3,1,1,4,3,3,2,4,1,2,3,4,1,4,3,0
台北市內湖區 35-54,TPf3,2,3,1,3,1,1,4,3,2,4,3,1,3,3,3,4,1,1,0
台北市內湖區 55+,TPf4,2,3,4,1,1,2,3,1,3,4,3,3,3,3,3,4,1,1,0
台北市文山區 0-19,TPg1,3,1,2,2,2,1,3,1,3,3,4,1,2,3,3,4,4,1,0
台北市文山區 20-34,TPg2,2,3,4,1,1,2,3,1,2,1,4,1,2,3,3,1,1,4,0
台北市文山區 35-54,TPg3,1,4,1,2,1,1,4,3,2,1,4,1,2,3,3,4,3,1,0
台北市文山區 55+,TPg4,2,3,4,1,4,2,3,1,1,1,3,1,2,1,3,4,4,1,4
台北市北投區 0-19,TPh1,4,4,1,2,2,3,4,4,2,1,4,4,1,4,1,3,3,2,4
台北市北投區 20-34,TPh2,4,4,2,2,2,3,4,4,2,1,1,4,1,4,3,4,1,2,2
台北市北投區 35-54,TPh3,4,4,2,2,2,3,4,4,2,1,4,1,4,2,1,4,3,2,4
台北市北投區 55+,TPh4,3,1,2,4,3,4,1,2,2,1,3,4,4,4,1,4,1,2,1
台北市松山區 0-19,TPi1,2,3,4,3,1,1,4,3,2,1,3,1,4,3,4,1,2,3,0
台北市松山區 20-34,TPi2,2,2,3,1,4,2,3,1,1,1,4,1,3,3,3,1,2,3,0
台北市松山區 35-54,TPi3,2,3,4,1,1,1,3,3,2,2,3,1,2,3,3,4,1,1,0
台北市松山區 55+,TPi4,2,3,3,1,4,2,3,3,2,4,3,1,2,1,1,4,1,2,4
台北市信義區 0-19,TPj1,2,3,3,1,4,2,3,1,4,2,4,3,3,3,3,1,4,1,0
台北市信義區 20-34,TPj2,2,3,3,1,1,1,3,3,1,1,1,1,2,3,4,1,2,4,0
台北市信義區 35-54,TPj3,2,3,4,3,1,1,4,3,2,2,4,1,2,3,3,1,1,2,4
台北市信義區 55+,TPj4,2,3,4,3,1,1,4,4,1,4,3,1,2,2,3,1,4,2,3
台北市南港區 0-19,TPk1,2,3,3,1,1,1,4,4,2,2,4,1,2,2,1,3,3,1,2
台北市南港區 20-34,TPk2,2,3,4,3,1,1,4,3,2,2,1,1,2,1,3,1,1,1,0
台北市南港區 35-54,TPk3,2,3,3,1,1,1,4,3,3,4,4,1,2,1,1,3,3,2,4
台北市南港區 55+,TPk4,2,3,4,2,2,3,4,4,2,4,3,1,2,1,3,4,3,2,3
台北市萬華區 0-19,TPl1,3,1,2,2,2,3,4,3,2,3,2,1,2,2,1,3,3,2,1
台北市萬華區 20-34,TPl2,2,3,4,3,1,1,3,3,1,3,2,1,2,2,1,3,3,2,1
台北市萬華區 35-54,TPl3,4,4,1,3,1,1,3,3,3,3,1,1,4,2,1,3,3,2,1
台北市萬華區 55+,TPl4,1,4,2,2,2,1,4,3,1,3,4,1,2,1,1,3,3,2,1
新北市三重區 0-19,NPa1,4,4,2,2,2,1,4,4,1,1,2,1,2,1,3,4,3,2,3
新北市三重區 20-34,NPa2,4,4,2,2,2,3,4,3,2,1,2,1,2,1,1,4,3,2,3
新北市三重區 35-54,NPa3,1,4,2,2,2,1,4,3,2,1,2,1,2,2,1,4,3,2,1
新北市三重區 55+,NPa4,3,1,2,2,2,3,4,4,1,1,4,1,2,2,1,3,3,2,1
新北市土城區 0-19,NPb1,2,3,4,3,1,1,4,4,3,2,1,4,1,4,1,1,1,2,3
新北市土城區 20-34,NPb2,4,4,1,2,1,1,4,3,3,2,2,1,2,1,1,4,1,2,3
新北市土城區 35-54,NPb3,2,4,1,3,1,1,3,3,3,4,1,1,2,2,1,4,3,2,3
新北市土城區 55+,NPb4,4,4,2,2,2,3,4,3,2,4,4,1,4,2,1,4,3,2,1
新北市中和區 0-19,NPc1,4,4,1,2,2,3,4,3,2,1,2,1,2,1,3,4,3,2,3
新北市中和區 20-34,NPc2,4,4,2,2,2,3,4,3,3,1,2,1,2,1,3,4,1,2,3
新北市中和區 35-54,NPc3,4,4,2,2,2,1,4,3,3,1,1,1,2,1,1,4,3,2,1
新北市中和區 55+,NPc4,1,1,2,2,2,3,4,3,3,1,4,1,2,1,3,4,3,2,1
新北市永和區 0-19,NPd1,4,4,1,2,2,1,4,3,3,1,4,1,2,3,3,1,4,4,0
新北市永和區 20-34,NPd2,4,4,1,2,2,1,4,4,1,1,2,1,2,1,3,4,4,1,0
新北市永和區 35-54,NPd3,1,1,2,4,2,3,4,4,2,1,1,1,2,1,3,4,1,2,4
新北市永和區 55+,NPd4,3,1,2,4,2,3,4,4,1,1,3,1,2,2,1,4,3,2,1
新北市汐止區 0-19,NPe1,4,4,2,2,2,3,4,4,1,1,2,1,2,1,3,1,4,1,4
新北市汐止區 20-34,NPe2,4,4,2,2,2,3,4,4,2,2,2,4,1,2,1,4,1,2,4
新北市汐止區 35-54,NPe3,4,4,1,2,2,1,4,3,3,2,1,1,2,1,3,4,1,2,2
新北市汐止區 55+,NPe4,1,4,2,2,2,3,4,4,2,2,4,4,1,4,1,4,1,2,1
新北市板橋區 0-19,NPf1,1,4,2,4,2,3,1,4,1,1,2,4,1,4,1,3,3,2,3
新北市板橋區 20-34,NPf2,1,1,2,4,2,3,1,4,2,1,2,1,4,1,3,4,1,2,3
新北市板橋區 35-54,NPf3,1,4,2,2,2,3,4,4,2,1,1,1,4,2,1,4,3,2,1
新北市板橋區 55+,NPf4,3,1,2,4,2,3,4,4,3,1,4,1,2,1,1,4,3,2,1
新北市林口區 0-19,NPg1,2,3,1,2,2,3,4,2,2,4,4,2,4,3,2,2,2,3,0
新北市林口區 20-34,NPg2,2,3,3,1,4,2,3,3,2,2,1,1,2,3,3,2,2,3,0
新北市林口區 35-54,NPg3,2,4,1,2,1,1,4,3,2,4,4,1,3,3,2,2,2,3,0
新北市林口區 55+,NPg4,2,3,4,3,1,1,4,3,2,4,3,1,3,3,2,1,2,3,0
新北市淡水區 0-19,NPh1,1,4,2,2,2,3,4,4,2,1,1,1,2,3,4,2,2,4,0
新北市淡水區 20-34,NPh2,1,4,2,2,2,3,4,4,2,1,1,1,2,3,4,2,2,4,0
新北市淡水區 35-54,NPh3,4,4,2,2,2,1,4,3,4,2,4,1,2,3,3,1,1,4,0
新北市淡水區 55+,NPh4,2,4,1,2,2,1,4,3,2,4,3,1,2,3,4,2,4,4,2
新北市新店區 0-19,NPi1,4,4,2,2,2,3,4,4,1,1,2,1,4,4,1,4,4,2,2
新北市新店區 20-34,Npi2,2,4,1,3,1,1,3,1,2,1,1,1,2,3,4,2,4,1,0
新北市新店區 35-54,NPi3,1,4,2,2,2,3,4,3,1,1,1,1,2,3,3,1,1,2,4
新北市新店區 55+,NPi4,1,4,2,2,2,3,4,4,1,1,3,1,2,1,3,4,3,2,3
新北市新莊區 0-19,NPj1,2,3,4,3,1,1,4,4,2,2,1,1,2,1,3,4,1,2,3
新北市新莊區 20-34,NPj2,2,4,1,2,2,3,4,4,2,1,2,1,2,3,3,1,1,2,3
新北市新莊區 35-54,NPj3,4,4,1,2,2,3,4,4,3,2,1,1,2,1,3,4,3,2,1
新北市新莊區 55+,NPj4,2,3,4,3,1,1,3,3,2,4,4,1,4,2,1,3,3,2,1
新北市樹林區 0-19,NPk1,2,4,1,2,2,3,4,4,2,2,1,4,4,2,1,4,1,2,1
新北市樹林區 20-34,NPk2,4,4,2,2,2,3,4,4,2,2,2,4,1,4,1,3,3,2,1
新北市樹林區 35-54,NPk3,1,1,2,2,2,3,4,4,2,2,1,4,4,2,1,4,3,2,1
新北市樹林區 55+,NPk4,4,4,2,2,2,3,4,4,2,4,4,4,1,4,1,3,3,2,1
新北市蘆洲區 0-19,NPl1,4,4,1,2,2,3,4,4,1,1,1,1,2,3,4,1,4,1,4
新北市蘆洲區 20-34,NPl2,1,4,2,2,2,3,4,4,2,1,1,1,2,3,4,1,4,1,2
新北市蘆洲區 35-54,NPl3,1,4,2,2,2,1,4,4,1,1,1,1,2,1,3,4,1,2,3
新北市蘆洲區 55+,NPl4,1,4,2,2,2,3,4,4,1,1,4,1,2,1,3,4,1,2,3