"","left20","left30","left40","left50","left60","left70","left80","left90","peak","peakdate","peakvalue","smooth","right90","right80","right70","right60","right50","right40","right30","right20"
"TCf3",4,2,1,1,2,1,3,3,1,1,4,1,3,3,3,2,2,4,4,0
"TCf4",2,4,2,1,2,1,3,1,1,1,4,2,4,1,4,2,2,2,3,0
"TCg1",1,4,4,4,4,4,4,1,4,4,2,4,4,4,2,3,4,3,0,0
"TCg2",3,2,3,3,1,3,1,4,1,1,3,4,2,4,1,3,4,3,2,0
"TCg3",4,2,1,3,1,1,1,2,1,1,4,1,2,4,1,3,4,1,2,0
"TCg4",2,4,2,1,2,1,3,4,2,1,4,2,2,4,2,3,4,4,1,0
"TCh1",2,4,2,1,2,1,3,4,2,4,2,4,2,4,2,3,4,3,0,0
"TCh2",4,2,1,3,1,1,1,4,2,1,2,4,2,4,2,4,4,1,0,0
"TCh3",1,4,4,4,4,4,4,3,3,4,4,4,3,4,2,4,4,1,2,0
"TCh4",1,3,4,4,4,2,4,3,1,4,4,2,3,4,2,3,4,4,4,0
"TCi1",3,2,3,3,1,3,1,3,1,1,4,1,3,2,3,1,1,2,2,0
"TCi2",3,2,1,3,1,1,1,4,1,1,2,4,2,4,2,4,4,1,0,0
"TCi3",4,2,2,1,2,1,3,1,4,1,4,1,1,1,4,2,4,4,1,0
"TCi4",2,4,2,4,2,2,3,4,2,1,4,2,1,4,1,2,2,2,3,4
"TCj1",4,2,1,3,1,3,1,2,1,1,4,4,2,4,2,4,4,3,0,0
"TCj2",2,4,2,1,2,2,3,1,4,1,2,1,4,1,1,2,2,4,4,0
"TCj3",4,2,2,1,2,2,3,1,4,1,4,1,1,1,4,2,2,4,1,0
"TCj4",3,2,3,3,1,3,1,3,1,1,4,2,3,2,3,1,3,2,3,1
"TCk1",4,2,1,1,1,1,3,4,1,1,2,4,1,1,4,2,4,4,1,0
"TCk2",4,2,1,1,2,1,3,1,3,1,3,4,4,1,1,3,4,1,1,0
"TCk3",2,2,2,1,2,1,3,1,1,1,2,4,1,1,1,2,4,4,4,0
"TCk4",1,4,4,4,4,2,3,4,2,1,4,2,2,4,1,3,4,4,4,3
"TCl1",4,2,1,4,4,2,4,1,1,1,2,4,4,1,1,2,4,1,2,0
"TCl2",2,4,2,4,4,4,4,3,3,4,2,4,3,4,2,3,4,4,4,0
"TCl3",2,4,4,4,4,4,4,3,1,1,2,1,3,1,1,2,2,4,4,1
"TCl4",1,3,4,2,3,4,2,3,1,1,4,2,3,1,1,2,2,4,4,4
"TNa1",2,4,4,4,3,4,4,3,3,4,2,4,3,4,2,4,4,3,0,0
"TNa2",1,1,4,2,3,4,2,3,1,4,3,4,3,2,1,3,4,4,4,3
"TNa3",1,3,4,2,3,4,2,3,3,4,2,1,3,1,2,3,4,1,4,0
"TNa4",1,4,4,2,3,4,4,3,3,4,4,2,4,4,2,4,4,4,4,1
"TNb1",2,4,2,1,2,1,3,1,1,1,2,4,1,4,1,2,2,4,1,0
"TNb2",2,4,4,4,4,2,3,1,4,4,2,1,1,4,2,3,4,4,4,0
"TNb3",2,4,4,4,4,2,4,3,1,1,2,1,4,4,1,2,2,2,3,1
"TNb4",2,4,2,4,4,2,3,1,2,1,4,2,1,1,4,2,3,2,3,3
"TNc1",3,2,3,3,1,3,4,3,3,1,4,4,3,2,3,1,1,2,2,0
"TNc2",3,2,3,3,1,3,1,4,1,1,2,4,2,4,1,3,4,4,1,0
"TNc3",4,2,1,1,1,1,3,4,1,1,4,1,2,4,2,3,4,1,2,0
"TNc4",3,2,3,3,1,3,1,3,1,1,4,2,3,3,3,1,2,4,3,1
"TNd1",1,3,4,2,3,4,2,3,1,4,2,4,3,2,2,3,4,1,1,0
"TNd2",4,2,1,3,1,1,3,4,2,1,2,4,1,4,1,2,4,4,1,0
"TNd3",2,4,4,4,4,4,4,3,4,4,4,1,4,4,2,3,4,4,4,0
"TNd4",2,4,2,1,2,1,3,4,1,1,4,2,2,1,1,2,2,2,3,3
"TNe1",1,3,4,4,4,2,4,1,3,4,2,4,4,4,2,4,4,1,1,0
"TNe2",4,2,1,3,1,1,1,2,2,1,4,1,2,4,2,3,4,4,1,0
"TNe3",2,2,1,1,2,1,3,1,3,1,4,1,4,4,2,3,4,4,4,0
"TNe4",2,4,2,1,4,2,4,3,3,1,4,2,3,1,1,2,2,4,4,3
"TNf1",3,2,1,1,3,4,2,3,1,1,4,1,3,3,3,1,1,2,3,0
"TNf2",3,2,3,3,1,3,1,1,1,1,2,1,4,1,4,2,2,4,1,0
"TNf3",3,2,3,3,1,1,3,1,3,1,4,1,1,1,4,1,3,2,4,0
"TNf4",2,4,2,1,2,2,3,1,3,1,4,2,1,1,4,2,2,4,4,3
"TNg1",4,2,1,1,1,1,1,4,2,1,2,4,2,4,1,2,4,1,2,0
"TNg2",2,4,4,4,4,2,4,3,3,4,3,4,3,4,2,4,4,1,4,0
"TNg3",2,4,2,4,4,2,4,3,3,1,2,1,3,4,2,3,4,4,1,1
"TNg4",4,4,2,1,1,1,1,2,1,1,4,2,2,4,2,3,2,4,4,3
"TNh1",2,4,2,1,2,2,4,3,3,1,4,4,3,1,1,2,2,3,2,0
"TNh2",1,1,4,2,3,4,2,3,1,4,2,1,3,2,3,1,2,4,4,3
"TNh3",1,1,4,2,3,4,2,3,1,4,2,1,3,2,1,3,4,4,4,1
"TNh4",2,4,2,4,4,2,3,1,3,1,4,1,1,1,1,2,2,2,1,0
"TNi1",1,4,4,4,2,2,3,4,2,4,4,1,2,4,2,4,4,1,2,0
"TNi2",3,2,3,3,1,3,1,3,1,1,2,1,3,3,3,1,3,2,4,1
"TNi3",4,2,1,3,1,1,1,4,1,1,4,1,1,1,4,2,2,4,4,3
"TNi4",3,2,3,3,1,3,1,4,4,1,4,2,2,4,1,2,2,4,3,3
"TNj1",3,2,3,3,1,3,1,4,2,1,4,4,2,1,4,2,3,4,2,0
"TNj2",2,2,1,3,1,2,4,1,4,4,4,1,4,1,1,3,4,1,2,0
"TNj3",4,2,3,3,1,1,3,4,2,1,4,1,1,4,2,3,4,4,2,0
"TNj4",2,4,2,1,2,2,3,1,3,1,4,2,1,1,4,1,2,4,3,1
"TNk1",2,4,2,1,2,1,3,1,1,1,4,4,4,1,1,2,4,1,2,0
"TNk2",1,4,4,4,4,2,3,1,2,1,4,1,1,1,1,3,4,1,4,0
"TNk3",1,1,4,2,3,4,2,3,3,4,4,1,3,4,2,4,4,1,4,0
"TNk4",1,4,4,4,4,2,3,1,4,1,4,2,1,1,1,3,4,4,4,1
"TNl1",2,4,2,1,1,1,1,2,1,1,4,1,2,4,1,3,4,1,2,0
"TNl2",1,1,4,2,3,4,2,3,1,4,3,4,3,2,3,3,4,1,1,2
"TNl3",1,1,4,2,3,4,2,3,1,4,2,4,3,3,2,3,4,4,1,0
"TNl4",2,4,2,1,2,2,3,1,1,1,4,2,1,1,4,2,2,4,4,4
"KHa1",4,2,1,1,1,1,3,1,1,1,2,4,1,1,4,2,2,4,4,0
"KHa2",4,2,1,1,2,1,3,1,1,1,2,1,1,1,4,2,4,4,4,0
"KHa3",2,4,2,1,2,1,3,1,4,1,2,1,1,1,1,2,2,4,4,3
"KHa4",2,4,2,1,2,2,3,1,1,1,2,2,4,1,4,2,2,2,3,4
"KHb1",4,2,1,1,2,1,3,1,1,1,2,1,4,1,4,2,2,2,1,0
"KHb2",3,2,1,3,1,1,1,1,1,1,2,1,1,1,1,3,4,4,4,0
"KHb3",4,2,2,1,2,1,3,1,1,1,2,1,4,1,4,2,2,4,4,1
"KHb4",2,4,2,4,4,2,3,1,1,1,4,2,4,1,4,2,2,2,3,4
"KHc1",4,2,1,1,2,2,4,3,1,1,2,1,3,2,3,1,3,2,1,0
"KHc2",3,2,1,3,1,1,3,1,1,1,2,1,1,1,4,2,2,1,1,0
"KHc3",4,2,2,1,2,2,3,1,3,1,2,1,4,1,1,2,2,4,4,0
"KHc4",2,4,2,4,4,4,4,3,1,1,4,2,3,3,4,2,2,2,3,4
"KHd1",4,2,1,1,1,1,4,3,1,1,2,1,3,3,3,1,1,2,4,3
"KHd2",1,1,4,2,3,4,2,3,3,4,3,4,3,2,4,2,2,2,3,4
"KHd3",1,3,4,4,4,4,4,3,3,1,2,1,4,1,4,2,2,2,3,4
"KHd4",2,4,2,4,4,2,3,1,3,1,4,2,4,1,4,2,2,2,3,4
"KHe1",2,4,2,1,2,1,3,3,1,1,2,1,3,2,3,2,2,2,3,1
"KHe2",4,4,2,1,4,2,4,3,1,1,2,1,3,2,3,2,2,2,4,3
"KHe3",2,4,2,1,2,2,3,3,1,1,2,1,3,3,4,2,2,2,3,3
"KHe4",1,4,4,4,4,2,4,3,1,1,2,2,3,2,4,2,2,2,3,4
"KHf1",2,4,2,1,2,1,3,4,2,1,4,4,2,4,2,3,4,4,2,0
"KHf2",2,4,4,2,3,4,2,3,1,4,2,4,3,1,2,4,4,1,1,0
"KHf3",2,4,2,4,4,2,4,1,3,4,4,1,4,4,2,3,4,4,4,0
"KHf4",2,4,2,1,2,1,1,4,1,1,4,2,2,4,1,2,2,2,3,4
"KHg1",1,1,4,2,3,4,2,3,1,4,3,1,3,1,1,3,4,4,4,3
"KHg2",2,4,2,1,2,1,3,4,2,1,2,1,2,1,1,2,2,4,4,3
"KHg3",1,4,4,4,4,2,4,3,3,4,2,1,4,4,1,2,2,4,4,3
"KHg4",1,4,2,1,2,1,3,4,4,1,4,2,1,4,1,2,2,2,3,4
"KHh1",3,2,3,3,2,2,4,3,1,1,2,1,3,3,3,2,2,2,4,0
"KHh2",4,2,2,2,3,4,2,3,1,1,2,1,3,1,1,3,4,4,4,1
"KHh3",4,2,1,1,2,2,3,1,4,1,2,1,4,1,4,2,2,4,4,0
"KHh4",2,4,4,4,3,4,4,3,4,1,4,2,4,1,4,2,2,2,3,4
"KHi1",1,3,4,2,3,4,4,3,1,4,3,1,4,4,2,4,4,1,1,3
"KHi2",4,2,1,3,1,3,3,3,1,1,3,1,3,3,3,1,3,2,3,4
"KHi3",4,2,1,3,1,1,2,3,3,1,3,1,3,2,3,1,1,2,3,4
"KHi4",2,4,2,1,4,2,3,1,1,1,2,2,4,1,3,1,3,2,3,4
"KHj1",4,2,1,1,2,1,3,4,2,1,2,1,1,1,1,2,2,4,1,0
"KHj2",3,2,3,3,1,3,1,3,1,1,2,1,3,2,3,1,1,2,3,3
"KHj3",4,2,1,3,1,1,3,3,1,1,2,2,4,1,4,1,2,2,3,4
"KHj4",2,2,2,1,2,1,3,1,4,1,4,2,4,1,1,3,2,4,4,3
"KHk1",2,2,2,1,2,1,3,4,1,1,2,4,1,4,2,3,4,4,1,1
"KHk2",4,2,1,1,2,1,3,1,4,1,2,4,1,4,1,3,4,1,4,1
"KHk3",2,2,1,1,2,1,3,4,2,1,2,1,1,4,1,2,4,4,4,1
"KHk4",4,2,1,3,1,1,3,1,1,1,4,2,1,1,4,2,3,2,3,3
"KHl1",4,2,1,1,1,1,3,3,1,1,2,4,3,1,4,1,3,2,3,0
"KHl2",4,2,2,1,2,1,3,1,1,1,2,1,1,1,1,2,4,4,4,1
"KHl3",2,4,2,1,2,1,3,4,1,1,2,1,2,4,1,3,4,4,4,1
"KHl4",2,4,2,1,2,1,3,1,3,1,2,2,1,1,4,2,2,2,3,4
"TPa",1,3,4,2,3,4,4,3,1,3,2,1,3,3,3,1,3,2,1,0
"TPb",1,3,4,4,4,4,4,3,1,3,4,1,3,2,3,1,1,2,1,0
"TPc",1,3,4,2,4,4,4,3,1,2,2,1,3,3,3,1,2,2,4,2
"TPd",1,3,4,2,3,4,4,3,1,2,4,1,3,1,4,1,3,2,1,0
"TPe",1,1,4,2,3,4,2,3,1,3,2,1,3,2,3,1,1,2,3,1
"TPf",1,3,4,4,4,4,4,3,3,2,2,1,3,3,3,1,1,2,3,2
"TPg",1,3,4,2,3,4,2,3,1,3,2,1,3,2,3,1,1,2,4,0
"TPh",1,1,4,2,3,4,2,3,3,3,2,1,3,2,3,1,1,2,3,3
"TPi",1,3,4,2,4,4,4,3,1,3,4,1,3,1,4,1,3,4,1,0
"TPj",1,3,4,2,3,4,4,3,1,3,2,1,3,1,3,1,3,2,4,0
"TPk",1,3,4,4,4,2,4,3,1,2,4,1,3,3,4,1,3,2,1,0
"TPl",1,1,4,2,3,4,4,3,1,3,3,1,3,3,3,1,1,2,3,4
"NTd",1,1,4,2,3,4,4,3,1,3,3,4,3,2,3,1,1,2,3,4
"NTc",1,1,4,2,3,4,4,3,3,3,3,4,3,3,3,1,1,2,3,4
"NTf",1,3,4,2,3,4,4,3,1,2,3,1,3,3,3,1,1,2,3,3
"NTe",1,1,4,2,3,4,4,3,1,3,2,4,3,3,3,1,3,2,3,2
"NTb",1,3,4,2,3,4,4,3,1,2,3,4,3,3,3,1,1,2,3,4
"NTa",1,1,4,2,3,4,2,3,1,3,3,4,3,3,3,1,1,2,3,4
"NTl",1,3,4,2,3,4,4,3,1,2,2,4,3,3,4,2,2,4,2,0
"NTk",1,1,4,2,3,4,2,3,1,2,3,1,3,2,3,1,1,2,3,4
"NTg",1,1,4,2,3,4,2,3,1,3,2,4,3,3,3,1,3,2,3,2
"NTh",1,1,4,2,3,4,2,3,1,3,3,4,3,3,3,1,3,2,3,1
"NTj",1,3,4,2,3,4,4,3,3,3,2,4,3,1,4,2,2,4,1,0
"NTi",1,1,4,2,3,4,4,3,1,3,3,4,3,3,3,1,3,2,3,1
"KLa",1,3,4,2,3,4,2,3,1,2,3,1,3,2,3,1,1,2,3,4
"KLb",1,3,4,2,3,4,4,3,1,3,2,1,3,3,3,1,2,4,3,4
"KLc",1,4,4,4,4,4,4,3,1,3,2,1,3,1,4,2,2,4,4,3
"KLd",2,4,4,4,3,4,2,3,1,3,2,1,3,3,3,1,2,2,3,4
"KLe",1,4,4,4,4,4,4,3,3,3,2,1,3,1,4,2,2,2,3,1
"KLf",1,3,4,4,4,4,4,3,1,2,2,1,3,1,4,2,2,4,3,1
"KLg",1,3,4,2,3,4,2,3,1,2,3,1,3,2,3,1,1,2,3,4
"TCg",4,2,1,1,1,1,1,2,1,1,4,1,2,4,1,3,4,1,2,0
"TCa",4,2,1,3,1,1,1,4,1,1,4,1,2,4,2,3,4,3,0,0
"TCh",2,2,2,1,2,1,3,4,2,1,4,4,2,4,2,4,4,1,0,0
"TCe",4,2,1,3,1,1,3,4,1,1,4,1,2,4,1,3,4,1,2,0
"TCc",4,2,1,1,2,1,3,1,1,1,2,1,4,1,1,2,2,4,3,0
"TCl",2,4,2,4,4,2,4,1,1,1,2,1,4,1,1,2,4,4,4,0
"TCd",2,4,2,1,2,1,3,4,3,1,2,1,2,4,1,2,2,4,4,0
"TCk",2,2,2,1,2,1,3,1,3,1,2,1,1,1,4,2,4,4,4,0
"TCj",4,2,1,1,1,1,3,4,1,1,4,1,1,1,1,2,4,4,1,0
"TCi",4,2,2,1,2,1,3,4,1,1,4,1,2,4,1,2,4,4,1,0
"TCb",4,2,1,1,2,1,3,1,4,1,2,1,1,1,1,2,4,4,2,0
"TCf",4,2,2,1,2,1,3,3,1,1,4,1,4,1,4,2,2,4,4,0
"TNf",3,2,1,3,1,1,3,1,3,1,4,1,4,1,4,1,2,2,4,0
"TNg",4,2,1,1,1,1,1,4,4,1,2,1,2,4,1,3,4,4,4,0
"TNk",1,4,4,4,4,2,3,4,2,1,4,1,1,4,1,3,4,4,4,0
"TNd",2,4,2,1,2,2,3,1,2,1,4,1,1,4,1,2,4,4,4,0
"TNl",1,3,4,2,3,4,4,3,3,4,2,1,3,4,2,3,4,1,1,0
"TNb",2,4,2,1,2,1,3,1,4,1,2,1,1,4,1,2,2,2,3,1
"TNj",4,2,1,3,1,1,3,4,4,1,4,1,1,4,1,2,4,4,1,0
"TNh",1,1,4,2,3,4,2,3,1,4,4,1,3,1,2,3,4,4,1,1
"TNc",3,2,3,3,1,3,1,1,1,1,4,1,4,1,4,2,2,4,1,0
"TNa",1,3,4,2,3,4,2,3,1,4,2,1,3,4,2,4,4,1,4,0
"TNe",2,2,1,1,2,1,3,4,3,1,4,1,2,4,2,3,4,4,4,0
"TNi",4,2,1,3,1,3,1,4,1,1,4,1,2,4,1,3,4,4,4,3
"KHb",4,2,2,1,2,1,3,1,1,1,2,1,4,1,4,2,2,4,4,1
"KHk",4,2,1,1,1,1,3,4,1,1,2,1,2,4,1,3,4,4,4,1
"KHe",2,4,2,1,4,2,4,3,1,1,2,1,3,2,4,2,2,2,3,4
"KHi",4,2,1,3,1,1,1,3,1,1,2,2,3,2,3,1,1,2,3,4
"KHg",1,1,4,2,3,4,2,3,1,4,2,1,3,4,2,3,4,4,4,4
"KHj",4,2,1,3,1,1,3,1,1,1,2,2,1,1,4,2,2,4,4,3
"KHc",4,2,2,1,2,2,3,3,1,1,2,1,3,1,4,2,2,2,4,0
"KHl",2,2,1,1,2,1,3,1,3,1,2,2,1,1,4,2,2,2,3,4
"KHd",2,4,4,4,4,2,3,1,3,1,2,1,4,1,4,2,2,2,3,4
"KHf",2,4,4,4,4,2,3,1,4,4,4,1,4,4,2,3,4,4,4,0
"KHa",2,4,2,1,2,1,3,1,1,1,2,1,1,1,1,2,2,4,4,3
"KHh",4,2,1,1,4,2,4,1,4,1,2,1,4,1,4,2,2,4,4,1
"TYb",1,3,4,4,4,2,4,3,1,2,2,4,3,3,4,2,2,4,1,0
"TYd",1,3,4,4,3,4,2,3,1,2,2,1,3,3,3,1,2,4,4,1
"TYk",1,3,4,2,4,4,4,3,1,2,2,4,4,1,1,3,4,1,1,0
"TYj",1,3,4,2,3,4,2,3,3,2,2,1,3,1,4,2,2,2,4,3
"TYc",1,3,4,4,4,2,4,3,1,2,2,1,3,1,4,2,2,4,4,0
"TYa",1,3,4,2,3,4,2,3,1,2,4,2,3,2,3,1,4,4,4,0
"TYf",1,3,4,4,4,2,4,3,1,2,1,3,3,3,3,2,2,4,4,0
"TYh",1,1,4,2,3,4,2,3,1,2,2,1,3,2,3,1,2,4,4,1
"TYl",1,4,4,4,4,2,4,3,1,2,1,3,3,2,3,1,4,4,1,0
"TYi",1,3,4,2,3,4,4,3,1,2,4,2,3,3,3,2,2,2,4,1
"TYg",2,4,2,4,2,2,3,3,1,4,4,1,3,3,4,2,2,2,4,0
"TYe",1,3,4,2,3,4,4,3,1,2,3,4,3,3,3,1,2,2,3,1
