1Feature,CE,CE dropped,2Feature,CE,CE dropped,3Feature,CE,CE dropped,4Feature,CE,CE dropped,5Feature,CE,CE dropped,6Feature,CE,CE dropped
left30to50,0.298655001,0.390561374,left30to50_left30to60,0.295178645,0.000347043,left30to50_left30to60_left30to70,0.269997964,-8.88E-16,left30to50_left30to60_left30to70_right30to50,0.222744355,8.88E-16,left30to50_left30to60_left30to70_right30to50_right30to60,0.186440984,0,left30to50_left30to60_left30to70_right30to50_right30to60_right30to70,0.086863928,0
left30to60,0.295525688,0.393690687,left30to50_left30to70,0.27347432,0.00272411,left30to50_left30to60_right30to50,0.242142954,0.003934102,left30to50_left30to60_left30to70_right30to60,0.200387451,4.44E-16,left30to50_left30to60_left30to70_right30to50_right30to70,0.104044818,4.44E-16,,,
left30to70,0.27619843,0.413017945,left30to50_right30to50,0.246077056,0.052577945,left30to50_left30to60_right30to60,0.219786049,0.007866755,left30to50_left30to60_left30to70_right30to70,0.166359441,4.44E-16,left30to50_left30to60_left30to70_right30to60_right30to70,0.097788564,0,,,
right30to50,0.63002383,0.059192545,left30to50_right30to60,0.227652804,0.071002196,left30to50_left30to60_right30to70,0.177284077,0.004668381,left30to50_left30to60_right30to50_right30to60,0.200563993,0.010924636,left30to50_left30to60_right30to50_right30to60_right30to70,0.093487323,0.006623394,,,
right30to60,0.614465403,0.074750971,left30to50_right30to70,0.181952458,0.116702543,left30to50_left30to70_right30to50,0.226678457,0.002995803,left30to50_left30to60_right30to50_right30to70,0.114969454,0.004301241,left30to50_left30to70_right30to50_right30to60_right30to70,0.093487323,-4.44E-16,,,
right30to70,0.605918808,0.083297567,left30to60_left30to70,0.269997964,0.006200466,left30to50_left30to70_right30to60,0.208254206,0.00181452,left30to50_left30to60_right30to60_right30to70,0.104411958,0.005747173,left30to60_left30to70_right30to50_right30to60_right30to70,0.086863928,0.006623394,,,
,,,left30to60_right30to50,0.277514316,0.018011372,left30to50_left30to70_right30to70,0.171027822,0.003400945,left30to50_left30to70_right30to50_right30to60,0.197365619,-8.88E-16,,,,,,
,,,left30to60_right30to60,0.258057768,0.03746792,left30to50_right30to50_right30to60,0.211488629,0.016164176,left30to50_left30to70_right30to50_right30to70,0.10834606,0.005747173,,,,,,
,,,left30to60_right30to70,0.243809748,0.05171594,left30to50_right30to50_right30to70,0.119270696,0.062681762,left30to50_left30to70_right30to60_right30to70,0.103535737,-4.44E-16,,,,,,
,,,left30to70_right30to50,0.22967426,0.04652417,left30to50_right30to60_right30to70,0.110159131,0.071793327,left30to50_right30to50_right30to60_right30to70,0.100110717,0.010048415,,,,,,
,,,left30to70_right30to60,0.210068726,0.066129704,left30to60_left30to70_right30to50,0.222744355,0.006929905,left30to60_left30to70_right30to50_right30to60,0.186440984,0.010924636,,,,,,
,,,left30to70_right30to70,0.174428767,0.101769663,left30to60_left30to70_right30to60,0.200387451,0.009681275,left30to60_left30to70_right30to50_right30to70,0.104044818,0.010048415,,,,,,
,,,right30to50_right30to60,0.61049333,0.003972073,left30to60_left30to70_right30to70,0.166359441,0.008069326,left30to60_left30to70_right30to60_right30to70,0.097788564,0.005747173,,,,,,
,,,right30to50_right30to70,0.526972524,0.078946283,left30to60_right30to50_right30to60,0.24192841,0.016129358,left30to60_right30to50_right30to60_right30to70,0.1416276,0.01432558,,,,,,
,,,right30to60_right30to70,0.53403719,0.071881617,left30to60_right30to50_right30to70,0.179744043,0.064065705,left30to70_right30to50_right30to60_right30to70,0.093487323,0.010048415,,,,,,
,,,,,,left30to60_right30to60_right30to70,0.15595318,0.087856567,,,,,,,,,
,,,,,,left30to70_right30to50_right30to60,0.197365619,0.012703106,,,,,,,,,
,,,,,,left30to70_right30to50_right30to70,0.114093233,0.060335534,,,,,,,,,
,,,,,,left30to70_right30to60_right30to70,0.103535737,0.07089303,,,,,,,,,
,,,,,,right30to50_right30to60_right30to70,0.520020073,0.006952451,,,,,,,,,